logz err
658726.626481 0.415636
658726.465730 0.431212
658726.459368 0.428380
658726.626091 0.415141
658726.532881 0.428587
658726.503429 0.429234
658726.777496 0.400671
658726.633708 0.423838
658726.707783 0.412900
658726.311073 0.447222
658726.662683 0.406731
658726.437266 0.429731
658726.481258 0.436790
658726.933535 0.393474
658726.656610 0.413032
658726.679730 0.415275
658726.333972 0.440384
658726.557865 0.420246
658726.521826 0.427087
658726.685009 0.410605
658726.811875 0.398406
658726.669320 0.411568
658726.724013 0.406850
658726.485740 0.427281
658726.379782 0.436732
658726.320703 0.449548
658726.433728 0.436711
658726.205480 0.455080
658726.631275 0.412503
658726.857927 0.391454
658726.575007 0.420314
658726.811878 0.404631
658726.455066 0.431780
658726.407550 0.437564
658726.526380 0.426802
658726.814515 0.402342
658726.816481 0.400162
658726.465316 0.435694
658726.590723 0.424705
658726.402999 0.435618
658726.281460 0.448001
658726.448139 0.430786
658726.335337 0.444219
658726.359998 0.436038
658726.620108 0.416551
658726.613546 0.416924
658726.551021 0.425774
658726.500065 0.424564
658726.467960 0.428046
658726.271777 0.443943
658726.592063 0.421468
658726.962445 0.389661
658726.610303 0.420842
658726.562363 0.428392
658726.598987 0.417488
658726.217739 0.450997
658726.459447 0.423176
658726.158302 0.447286
658726.846410 0.399039
658726.562522 0.415626
658726.468348 0.433504
658726.348505 0.437562
658726.925684 0.393871
658726.384448 0.432838
658726.859964 0.391548
658726.566514 0.425191
658726.693211 0.408935
658726.476505 0.424241
658726.560667 0.417688
658726.678777 0.410291
658726.504258 0.429111
658726.561350 0.417124
658726.341393 0.431093
658726.599751 0.417273
658726.383751 0.437493
658726.106438 0.460949
658726.467235 0.432446
658726.129321 0.450653
658726.951446 0.388167
658726.467703 0.435248
658726.675255 0.408695
658726.868268 0.393705
658726.799068 0.400984
658726.330226 0.436525
658726.375908 0.435926
658726.724993 0.407851
658726.435100 0.429345
658726.790171 0.401736
658726.377482 0.436677
658726.611641 0.422842
658726.690770 0.411628
658726.678514 0.410335
658726.539605 0.421239
658726.603975 0.419224
658726.545904 0.423216
658726.433113 0.437308
658726.511359 0.423186
658726.684264 0.409550
658726.304477 0.445279
658726.588404 0.426108
