logz err
658726.853711 0.376500
658727.091289 0.355468
658726.300923 0.417895
658726.874592 0.367681
658726.701997 0.383833
658726.996725 0.366615
658726.708485 0.387703
658726.790826 0.369411
658726.749191 0.380991
658726.531239 0.398830
658726.951717 0.365436
658726.724926 0.386941
658726.180757 0.428054
658726.869467 0.370963
658726.778160 0.376002
658726.660235 0.392300
658726.915441 0.368126
658726.758471 0.385034
658726.281134 0.427466
658726.700808 0.386125
658727.317044 0.339866
658726.876322 0.370917
658726.706451 0.382933
658727.136696 0.354561
658726.522931 0.403375
658726.860225 0.373894
658726.831028 0.378239
658726.903632 0.367890
658726.798268 0.383051
658726.450604 0.408515
658726.798357 0.380603
658726.796695 0.379433
658726.355081 0.417532
658726.672550 0.388591
658726.940387 0.365230
658726.702740 0.387372
658726.809846 0.378371
658727.016239 0.354878
658726.976725 0.362185
658726.833205 0.378455
658726.266258 0.421533
658727.205958 0.348513
658726.686070 0.384629
658726.728859 0.383541
658726.349983 0.418930
658726.901947 0.362176
658726.757639 0.389637
658726.317269 0.414740
658727.032632 0.360088
658726.878027 0.376652
658726.551326 0.396171
658726.750047 0.380272
658726.653513 0.390229
658726.345232 0.412703
658726.556703 0.398749
658726.870937 0.373478
658726.722916 0.389915
658727.175773 0.350547
658726.717029 0.376655
658726.613394 0.391685
658726.682922 0.392088
658726.754564 0.380934
658726.580699 0.397462
658726.386137 0.417086
658726.724873 0.390321
658726.786276 0.381024
658726.828658 0.383913
658726.431112 0.412684
658726.586551 0.403331
658726.761377 0.377622
658727.027721 0.358776
658726.963789 0.368428
658726.735418 0.385710
658726.763426 0.382989
658726.726995 0.392033
658726.701748 0.381339
658726.729658 0.377813
658726.877798 0.375304
658726.940058 0.372760
658726.688812 0.381745
658726.816216 0.385156
658726.938909 0.371099
658726.734344 0.381311
658726.436406 0.413927
658726.594939 0.398488
658726.836454 0.375338
658726.178595 0.426196
658727.320221 0.336190
658726.956342 0.367260
658727.047124 0.360435
658726.985951 0.367798
658726.997451 0.359427
658726.801896 0.378821
658727.165932 0.359134
658726.950410 0.364738
658727.211413 0.343151
658726.614979 0.390611
658726.483256 0.407585
658726.964973 0.360076
658726.852184 0.373135
